Time, XRP(Price), Cash, Market Value, Shares,
846492, 0.44, 201.5858249504185, 682.90013748, 1552.045767, 
846588, 0.44392893, 203.1352319124005, 687.4485519780873, 1548.5554229999998, 
846683, 0.4489489, 205.1480134947485, 693.2093689042896, 1544.0718729999999, 
846778, 0.44939783, 207.7166114947485, 691.3337578385162, 1538.3557990000002, 
846848, 0.45688627, 210.0191404895907, 700.5233566543775, 1533.255435, 
846944, 0.45643391, 209.9320414895907, 699.9168585336593, 1533.44623, 
847039, 0.4559796, 209.8449534895907, 699.3072728973036, 1533.637191, 
847134, 0.4508216, 209.7577023355907, 691.4829364460688, 1533.828318, 
847380, 0.45127249, 212.1542363355907, 689.7778413732412, 1528.5173739999998, 
847501, 0.45291285, 212.0666925975907, 692.3729201499746, 1528.7111419999999, 
848450, 0.45336577, 214.5525165975907, 690.5793303780672, 1523.227769, 
848546, 0.45381906, 216.8592965975907, 688.962864552264, 1518.1444000000001, 
849445, 0.453, 216.7711556675907, 687.807293841, 1518.338397, 
849540, 0.45254768, 216.6830257595907, 687.2084594400897, 1518.5327200000002, 
849636, 0.4514616, 216.5950304554443, 685.6470175445208, 1518.7272130000001, 
849731, 0.45191328, 218.4088404554443, 684.5190823255075, 1514.713359, 
849826, 0.45146374, 218.3204991254443, 683.926309537584, 1514.9086160000002, 
850123, 0.45191529, 219.9624601254443, 682.9683467782129, 1511.275148, 
850293, 0.45191529, 221.5088371254443, 681.4234562827363, 1507.8566079999998, 
850388, 0.4525, 222.9013343805451, 680.91255904, 1504.7791359999999, 
850559, 0.4525, 224.2425143805451, 679.5726599325001, 1501.818033, 
850654, 0.45325, 225.4498803805451, 679.49080581025, 1499.152357, 
850750, 0.4525, 225.3606222205451, 678.4554491975, 1499.349059, 
850845, 0.45295238, 226.4564132205451, 678.0378748372099, 1496.9297100000001, 
850940, 0.45340541, 227.5105912205451, 677.6617919544534, 1494.604557, 
851463, 0.45340541, 228.5273002205451, 676.6460853969174, 1492.364384, 
851658, 0.454, 228.4376362505451, 677.623108502, 1492.561913, 
851854, 0.45354684, 228.3479843045451, 677.0361985384138, 1492.759157, 
851949, 0.44952308, 228.2588107834541, 671.1184365516818, 1492.956572, 
852246, 0.44997225, 228.6212827834541, 671.4265423597777, 1492.150999, 
852341, 0.45042199, 229.0146137834541, 671.7042778346407, 1491.277719, 
852663, 0.45042199, 229.4357707834541, 671.283527843654, 1490.343595, 
852758, 0.45087341, 229.8149097834541, 671.577146223511, 1489.502666, 
853054, 0.4499392, 229.7250734694541, 670.2751848374912, 1489.701686, 
853149, 0.45038956, 230.0034164694541, 670.6677303770837, 1489.0836510000001, 
853245, 0.45084026, 230.3210514694541, 671.0212118566011, 1488.379081, 
853340, 0.45129088, 230.6740764694541, 671.3388667007297, 1487.5967950000002, 
853435, 0.454, 231.0589144694541, 674.982170072, 1486.744868, 
853531, 0.45445419, 231.8081344694541, 674.9082010955243, 1485.096223, 
853626, 0.45490877, 232.5500574694541, 674.8413594937829, 1483.4652660000002, 
853721, 0.45536389, 233.2853954694541, 674.781162542056, 1481.8504, 
853817, 0.45581953, 234.0148124694541, 674.7269221855952, 1480.250138, 
853912, 0.45627547, 234.739959335775, 674.6777237379306, 1478.66315, 
854007, 0.4598093, 235.4640729989359, 679.1789404798551, 1477.088307, 
854102, 0.4627435, 236.6398454640114, 682.3371803685241, 1474.5473040000002, 
854198, 0.4627435, 238.1253114640114, 680.8531388268491, 1471.3402540000002, 
854293, 0.46320614, 239.4625704640114, 680.1965204776085, 1468.453161, 
854439, 0.46366937, 240.7343464640114, 679.6049157631866, 1465.7101799999998, 
854534, 0.46413299, 241.9471324640114, 679.0716019788176, 1463.097036, 
854629, 0.46582104, 243.1076978176466, 680.3786498274197, 1460.600942, 
854724, 0.46535692, 243.0162668176466, 679.7921727583681, 1460.797387, 
854820, 0.4641736, 242.9248068461004, 678.1548454867471, 1460.994002, 
855141, 0.46410464, 243.9928808461004, 676.9872329427508, 1458.695248, 
855236, 0.4641, 243.9011467441004, 677.0720918598, 1458.892678, 
855332, 0.46252447, 243.8096087441004, 674.8648673218311, 1459.090083, 
855603, 0.4620635, 243.7178996921004, 674.283782704509, 1459.288134, 
855698, 0.46160171, 243.6262036661004, 673.7013971896671, 1459.486355, 
855794, 0.4611411, 243.5345196641004, 673.1206303459428, 1459.684748, 
856241, 0.46353287, 244.0992546641004, 676.0447503187995, 1458.461296, 
856713, 0.46353287, 244.0075065341004, 676.1363930848628, 1458.659001, 
856808, 0.4612144, 243.9161379303142, 672.8457078909777, 1458.856679, 
856904, 0.46167528, 244.4534319303142, 672.980757909475, 1457.692857, 
856999, 0.46484116, 245.0058736003027, 677.0415288503865, 1456.500816, 
857195, 0.46530618, 245.9628986003027, 676.7617919006559, 1454.444022, 
857340, 0.46717927, 246.8920796003027, 678.554092964524, 1452.449063, 
857511, 0.46728972, 248.0006176003027, 677.6068103551696, 1450.078573, 
857606, 0.472, 249.0231204304913, 683.4139150639999, 1447.910837, 
857777, 0.4721754, 250.6179294304913, 682.0740099550254, 1444.535251, 
857847, 0.47188032, 251.9863305344913, 680.2815671750553, 1441.640048, 
857917, 0.47424682, 253.1754872664913, 682.4992720609309, 1439.122506, 
858013, 0.47364322, 253.0825056744913, 681.723373636298, 1439.318341, 
858787, 0.47411681, 254.0295371084913, 681.457974926138, 1437.320847, 
858903, 0.4731718, 253.9365321969702, 680.1924974303357, 1437.516981, 
859048, 0.47270618, 253.8899892969702, 679.5695965925287, 1437.615215, 
859143, 0.47169811, 253.8434504049702, 678.1667590677114, 1437.713539, 
859288, 0.47122507, 253.7969145189702, 677.5330919189198, 1437.812067, 
859408, 0.47122507, 253.7504745189702, 677.5795641353232, 1437.910687, 
859503, 0.47075819, 253.7040375189702, 676.954655271167, 1438.0093, 
859598, 0.47029392, 253.6576035189702, 676.3334505845356, 1438.108004, 
859694, 0.46983051, 253.6111725189702, 675.7134338596375, 1438.206799, 
859789, 0.46935784, 253.5647455189702, 675.0800495713205, 1438.305685, 
860109, 0.4693, 254.2802675189702, 674.2821248644, 1436.782708, 
860204, 0.4697695, 254.9160465189702, 674.3209012579634, 1435.429293, 
860299, 0.4715483, 255.5575276229378, 676.2327476339352, 1434.068891, 
860494, 0.47107446, 255.5109666229378, 675.5997752980164, 1434.167701, 
860589, 0.47060607, 255.4644086229378, 674.9745693700802, 1434.266603, 
860684, 0.469774, 255.4178536229378, 673.827663965078, 1434.365597, 
860855, 0.469774, 255.3713016229378, 673.87424816424, 1434.46476, 
861025, 0.4693, 255.9663676229378, 672.6004258584001, 1433.199288, 
861420, 0.46976896, 256.4340926229378, 672.8047999081766, 1432.203609, 
861515, 0.4693, 256.3874706229378, 672.1797612946, 1432.302922, 
861610, 0.46976927, 256.8131586229378, 672.4261959929486, 1431.396728, 
861781, 0.46976927, 256.7664173269378, 672.4728764955391, 1431.496097, 
861851, 0.4693005, 257.1747050369378, 671.3943517092106, 1430.627821, 
862622, 0.4693, 257.5219070369378, 671.0467678486, 1429.888702, 
863393, 0.4693, 257.8343750369378, 670.7345984053, 1429.223521, 
863538, 0.46883091, 257.7876560369378, 670.1108688790883, 1429.323141, 
863733, 0.46592278, 257.7408466049378, 666.000669931214, 1429.422854, 
863878, 0.46639032, 257.7876526049378, 666.6221623009292, 1429.322466, 
863973, 0.46732335, 257.8345087807123, 667.9088928459928, 1429.222171, 
864093, 0.46732335, 257.8813217807123, 667.8621128440112, 1429.122069, 
864189, 0.46872813, 257.9282316230586, 669.8227910397349, 1429.02196, 
864284, 0.46919733, 258.1183302038446, 670.303175484816, 1428.616773, 
864379, 0.4644619, 258.0719242232403, 663.5843601794883, 1428.716457, 
865600, 0.4644619, 257.5435696232403, 664.1121737537245, 1429.852855, 
865695, 0.4635662, 257.0685815284881, 663.3054806592378, 1430.875419, 
866291, 0.4640344, 257.1153405284881, 663.9286437190312, 1430.774623, 
866962, 0.46360686, 256.6215509204881, 663.8097592643134, 1431.837655, 
867057, 0.46314366, 256.1158836044882, 663.6511761733153, 1432.927261, 
867152, 0.46268103, 255.5943616424882, 663.5087281491196, 1434.052155, 
867825, 0.46267037, 255.5943616424882, 663.4934226463325, 1434.052115, 
869353, 0.46267037, 255.6410166424882, 663.4468007411588, 1433.951348, 
869801, 0.46382782, 255.6970906424882, 665.0504398135956, 1433.830424, 
870197, 0.46499229, 255.7531696424882, 666.6639993775036, 1433.7097919999999, 
870971, 0.46499229, 255.2648910344882, 667.1525105125396, 1434.760371, 
871067, 0.4635662, 254.8990257644882, 665.4713268449058, 1435.547559, 
871489, 0.4635662, 254.9550377644882, 665.4154411580986, 1435.427003, 
871584, 0.46472423, 255.0110537644882, 667.0216787488686, 1435.306437, 
872232, 0.4714, 255.0670747644882, 676.5467562954, 1435.186161, 
872327, 0.46658864, 255.0120059283587, 669.6968604931898, 1435.304684, 
873353, 0.46658864, 255.3947419283587, 669.315065006737, 1434.486414, 
874654, 0.46541883, 255.3388573823587, 667.6927474922849, 1434.606218, 
875101, 0.46541883, 255.3949053823587, 667.6368250927663, 1434.486063, 
875197, 0.47, 255.4509583823587, 674.1519720599999, 1434.365898, 
875845, 0.47, 255.3950688263587, 674.20787574, 1434.484842, 
875940, 0.46775162, 255.3393119310383, 671.038240282117, 1434.603776, 
876789, 0.46658468, 255.2834313930383, 669.4198987546729, 1434.723272, 
876910, 0.466585, 255.2275558650383, 669.476247750345, 1434.843057, 
